Provider;Country;Duration;Workload;Examination;Certificate;Languaage;Date;Subject;Tags;Subtitles;Course.name;NA
Coursera;USA;11 Weeks;4-6 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Jan 19th 2015;One year of college-level physics. One year of college-level general chemistry. Differential calculus of multiple variables.;Chemistry;ThermodynamicsChemistryBoltzmannQuantumMaxwell;Statistical Molecular Thermodynamics (Coursera);University of Minnesota
Coursera;USA;10 Weeks;5-7 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Jan 19th 2015;The course includes programming assignments and some programming background will be helpful.;Computer Science: Artificial Intelligence, Robotics, VisionStatistics & Data Analysis;Machine LearningArtificial IntelligenceOctave;Machine Learning (Coursera);Stanford University
KAU;Sweden;20 Weeks;2-8 hours/week;No Exam or Final Project;No Certificate;English;Jan 19th 2015;Business & ManagementMarketing & Communication;Service InnovationBusiness;Mastering Service Innovation (KAU);Mastering Service Innovation (KAU);Karlstad Business School
Coursera;Russia;12 Weeks;3-4 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Russian;Jan 19th 2015;Для изучения данного курса желательно иметь базовые знания в сфере культуры и социологии. ;HumanitiesSocial Sciences;MediaMedia SystemsMedia Theory;История и теория медиа (History and theory of media) (Coursera);Higher School of Economics (HSE) - National Research University
Coursera;Germany;10 Weeks;4-8 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);German;Jan 19th 2015;Für diesen Kurs benötigen Sie grundlegende mathematische Kenntnisse, vor allem im Bereich der Linearen Algebra. Für die Implementierung der vorgestellten Algorithmen sind Programmierkenntnisse hilfreich.;Computer Science: Artificial Intelligence, Robotics, Vision;Artificial IntelligenceAlgorithmsComputer Vision3D;Einführung in Computer Vision (Coursera);Technische Universität München (TUM)
Canvas Network;USA;6 Weeks;No information;No Exam and/or Final Project information;No certificate information;English;Jan 19th 2015;Biology & Life Sciences;EcologyPopulationsBiosphereEcosystems;Understanding Ecology and Populations (Canvas.net);Understanding Ecology and Populations (Canvas.net);Northwest Career Technical High School
Coursera;France;9 Weeks;3-5 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);French;Jan 19th 2015;Calcul différentiel à plusieurs variables. Notions élémentaires de topologie. Connaissance de l'intégrale de Lebesgue.;Mathematics;MathDistributionDifferential Equations;Initiation à la théorie des distributions (Coursera);École Polytechnique
Lagunita;USA;11 Weeks;3 hours/week;No Exam and/or Final Project information;No certificate information;English;Jan 19th 2015;First courses in statistics, linear algebra, and computing.;Statistics & Data Analysis;StatisticsLinear RegressionPolynomial RegressionData AnalysisMath;StatLearning: Statistical Learning (Stanford Online);Stanford University
Coursera;Singapore;6 Weeks;5-7 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Jan 19th 2015;No specific background required. A general interest in technology and technology enabled business would be helpful.;Business & ManagementInformation, Technology, and Design;E CommerceBusinessMarketsDemocratization;Foundations of E-Commerce (Coursera);Nanyang Technological University
FUN;France;4 Weeks;5 hours/week;No Exam or Final Project;No Certificate;French;Jan 18th 2015;Il n’y a pas de pré-requis pour suivre ce MOOC car il aborde à la fois des usages courants du web et les techniques du web de manière simple. Il faut simplement être habitué à utiliser internet et être curieux de savoir comment ça fonctionne.;Computer Science: Programming & Software Engineering;BlogsWeb ApplicationsTechnologyMarketing ResearchWeb Content;Soyez acteurs du web! (FUN);Institut Mines-Telecom
#NOM?;USA;Self Paced;4 hours/week;No Exam or Final Project;No Certificate;English;Jan 16th 2015;Business & ManagementEconomics & FinanceEducationHealth & SocietyHumanitiesMarketing & CommunicationPersonal & Professional DevelopmentSocial ;;;;
FUN;France;8 Weeks;3 hours/week;No Exam or Final Project;No Certificate;English;Jan 15th 2015;The course is designed for undergraduates but since the topic of scientific humanities is not widely known, it will be of interest for graduates and for the general public as well. It does not require a degree in science and technology.;Humanities;Scientific HumanitiesTechnologyScienceTechnological Innovations;Scientific Humanities (FUN);Sciences Po
FUN;France;6 Weeks;3-4 hours/week;Yes, Free Exam and/or Final Project;No Certificate;French;Jan 15th 2015;Les prérequis sont un niveau baccalauréat scientifique avec des connaissances en mathématiques telles que l'intégration et la manipulation des nombres complexes.;Physics;Signal Processing;Introduction au Traitement du Signal (FUN);Cnam
iversity;Austria;7 Weeks;4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 15th 2015;No prior knowledge is required.;Business & ManagementEconomics & Finance;Business AnalysisBusiness;Business Analysis 101 (iversity);Procurro Solutions
FUN;France;6 Weeks;2 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;French;Jan 15th 2015;This course is for anyone who wants to know more about epidemiology and its related job prospects. ;Health & SocietyMedicine & PharmacologyStatistics & Data Analysis;Concepts and Methods in Epidemiology (FUN);Cnam
Coursera;Germany;6 Weeks;3-6 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Jan 15th 2015;All are welcome! If you wish to earn a certificate, the successful completion of introductory university-level biology will be helpful.;Biology & Life SciencesHealth & SocietyMedicine & Pharmacology;Circadian ClocksDaily RhythmsChronobiology;Circadian Clocks: How Rhythms Structure Life (Coursera);Ludwig-Maximilians-Universität München
edX;Canada;12 Weeks;5 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 14th 2015;None.;Biology & Life SciencesEnergy & Earth SciencesPhysical & Earth Sciences;Natural DisastersEmergency ManagementScience;ATOC185x: Natural Disasters (edX);McGill
Coursera;USA;5 Weeks;6-9 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Jan 14th 2015;No background is required;;;;
Canvas Network;USA;Self Paced;No information;No Exam and/or Final Project information;No certificate information;English;Self Paced ;Intended for educators or professionals.;Biology & Life Sciences;Cell CultureLaboratoryBiologyScience;Cell Culture Basics (Canvas.net);University of California, Irvine
Other Providers;USA;16 Weeks;3-6 hours/week;Yes, Free Exam and/or Final Project;No, Open Badges or Yes, Verified Certificate (Paid);English;Jan 13th 2015;The course if for those interested in data visualization theory and practice. Participants could have some background in: information science, computer programming, databases and data mining, statistics, and or graphic design.;Computer Science: Systems, Security, NetworkingInformation, Technology, and Design;Information Visualisation;Information Visualization MOOC (CNS);Indiana University
Coursera;France;6 Weeks;1-3 hours/week;Yes, Free Exam and/or Final Project;Yes, Verified Certificate (Paid);English;Jan 13th 2015;No prerequisite, all are welcome ! ;Business & ManagementHumanitiesSocial Sciences;OrganizationsManagementCompetitionPublic SpacesOrganization;Time to Reorganize! Understand Organizations, Act, and Build a Meaningful World (Coursera);HEC Paris
iversity;Germany;Course length not available;5 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Jan 13th 2015;Basic computer and internet skills.;Computer Science: Programming & Software EngineeringInformation, Technology, and Design;Game DesignGame DevelopmentSerious Games;Serious Game Design and Development (iversity);iversity
iversity;Spain;6 Weeks;2 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 13th 2015;No prior knowledge is necessary to take this course.;Marketing & CommunicationPersonal & Professional Development;Public SpeakingCommunication;Public Speaking - Join the Talk & Spread the Word (iversity);Universitat Pompeu Fabra
Lagunita;USA;9 Weeks;7-10 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Jan 13th 2015;The course is designed to build on a first course on quantum mechanics at the junior or senior college level, so students should have at least that background. ;Engineering;MechanicsQuantum MechanicsQuantumCrystal StructuresLight;Quantum Mechanics for Scientists and Engineers 2 (Stanford Online);Stanford University
FUN;France;7 Weeks;4 hours/week;No Exam or Final Project;No Certificate;French;Jan 13th 2015;Ce cours est destiné à des élèves qui maîtrisent déjà l’algèbre linéaire et les bases de l’analyse réelle, y compris l’intégrale de Lebesgue, le calcul différentiel à plusieurs variables, et des notions élémentaires de topologie.;Mathematics;MathMathematicsDifferential Equations;Equations différentielles : de Newton à nos jours (FUN);Université Pierre & Marie Curie (UPMC)
edX;USA;7 Weeks;8-10 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 13th 2015;Calculus and introductory mechanics.;Physics;PhysicsElectricityMagnetismElectric FieldResistanceElectric Potencial;PHYS102.1x: Electricity & Magnetism, Part 1 (edX);RiceX
Coursera;USA;10 Weeks;10-12 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Jan 13th 2015;Students should have a background in basic chemistry including properties and phases of matter, familiarity with units, scientific notation, and the ability to solve basic problems with dimensional analysis. ;Chemistry;ChemistryAtomPeriodic TrendsStoichiometry;Chemistry (Coursera);University of Kentucky
edX;USA;8 Weeks;4-8 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 13th 2015;7.00x Introduction to Biology or similar (biochemistry, molecular biology, and genetics). Programming experience is not required. An introduction to MATLAB, Python, and R is included.;Biology & Life SciencesStatistics & Data Analysis;BiologyData AnalysisQuantitativeComputational MethodsBiological Research;7.QBWx: Quantitative Biology Workshop (edX);MITx
Canvas Network;México;7 Weeks;No information;No Exam and/or Final Project information;No certificate information;English;Jan 12th 2015;Intended for educators or professionals.;Business & ManagementPersonal & Professional Development;EntrepreneurshipCreative ThinkingLearningPlanning SkillsEntrepreneurial SkillsInnovationEntrepreneur;Thinking Outside The Box: Creative Entrepreneurship (Canvas.net);Center for Innovation in Education
Canvas Network;USA;4 Weeks;No information;No Exam and/or Final Project information;No certificate information;English;Jan 12th 2015;Art, Architecture, and Design;Interior DesignDesign;Essentials of Interior Design (Canvas.net);Essentials of Interior Design (Canvas.net);SmartOn Learning Solutions
Coursera;United Kingdom;7 Weeks;3-8 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Jan 12th 2015;The course is at an introductory level, but you will need a basic understanding of logic.;Computer Science: Artificial Intelligence, Robotics, Vision;ComputerArtificial IntelligenceRobotsAlgorithms;Artificial Intelligence Planning (Coursera);University of Edinburgh
iversity;GUPES;Germany;15 Weeks;3 hours/week;Yes, Free Exam and/or Final Project;No certificate information;English;Jan 12th 2015;There are no prerequisites, just some willingness to learn about this innovative topic! It is however true that it will help if you have heard about disasters and climate change before starting.;Energy & Earth SciencesPhysical & Earth Sciences;Disasters and Ecosystems: Resilience in a Changing Climate (iversity);CNRD (Center for Natural Resources and Development)
Coursera;USA;6 Weeks;12-15 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Jan 12th 2015;LawSocial Sciences;Constitutional LawAmerica Unwritten ConstitutionAmerican LawLaw;America's Unwritten Constitution (Coursera);America's Unwritten Constitution (Coursera);Yale University
Other Providers;USA;16 Weeks;3 hours/week;Yes, Free Exam and/or Final Project;No Certificate;English;Jan 12th 2015;Anyone interested in agriculture and food.;Biology & Life SciencesFood and Nutrition;FoodAgricultureFarming;Farm to Fork: A Panoramic View of Agriculture (OSU);Oklahoma State University
Miríada X;Spain;8 Weeks;5 hours/week;No Exam and/or Final Project information;No certificate information;Spanish;Jan 12th 2015;Conocimientos básicos de biología a nivel de bachillerato.;Biology & Life Sciences;Zoonosis ParasitariasParasiticBiology;Zoonosis parasitarias: parásitos de los animales al hombre (Miríada X);Universidad CEU Cardenal Herrera
Coursera;USA;8 Weeks;3-5 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Jan 12th 2015;Art, Architecture, and DesignHumanitiesMusic, Film & Audio;MusicClassical MusicBachMozartPucciniBeethovenWagner;Introduction to Classical Music (Coursera);Introduction to Classical Music (Coursera);Yale University
edX;Korea;7 Weeks;10 hours/week;No Exam and/or Final Project information;No certificate information;Korean;Jan 12th 2015;Physics;PhysicsMechanicsNewtonian Mechanics;English;SNU034.005.1x: Introductory Physics - Part 1: Mechanics and Waves (edX);Seoul National University
Coursera;Singapore;Self Paced;Self study;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Self Paced ;Art, Architecture, and DesignBiology & Life SciencesChemistryPhysical & Earth Sciences;SymmetrySymmetrical FormsCrystal Structures;Beauty, Form & Function: An Exploration of Symmetry (Coursera);Beauty, Form & Function: An Exploration of Symmetry (Coursera);Nanyang Technological University
FUN;France;6 Weeks;4 hours/week;No Exam or Final Project;No Certificate;French;Jan 12th 2015;Ce cours s’adresse aux curieux, passionnés, geeks, étudiants, professionnels de l’audiovisuel, de la culture, ou des institutions qui veulent vivre une expérience d’apprentissage collaborative.;Social Sciences;StorytellingTransmedia Storytelling;Comprendre le Transmedia Storytelling (FUN);Université Bordeaux Montaigne
Coursera;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;No Certificate;English;Self Paced ;You may attend this Course even if you did not take Grow to Greatness, Part 1. The only prerequisite for this Course is an interest in learning about how privately owned entrepreneurial businesses grow.;Business & Management;BusinessEntrepreneurshipManagement;Grow to Greatness: Smart Growth for Private Businesses, Part II (Coursera);University of Virginia
Canvas Network;USA;6 Weeks;No information;No Exam and/or Final Project information;No certificate information;English;Jan 12th 2015;Intended for educators or professionals.;EducationTeacher Professional Development;Teacher EducationWriting TeacherWritingHistorical Writing;Helping History Teachers Become Writing Teachers (Canvas.net);Canvas Network
Coursera;USA;9 Weeks;6-8 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Jan12th 2015;Programming experience in C/C++.;Computer Science: Programming & Software EngineeringComputer Science: Systems, Security, Networking;Parallel ProgrammingComputer ScienceSoftware Engineering;Heterogeneous Parallel Programming (Coursera);University of Illinois at Urbana-Champaign
Coursera;USA;5 Weeks;3-5 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 12th 2015;This material is appropriate for anyone who is personally touched by dementing illnesses including health professionals, students in the health professions, or families and loved ones of persons with dementia. ;Health & SocietyMedicine & PharmacologySocial Sciences;DementiaHealthcareAlzheimer;Living with Dementia: Impact on Individuals, Caregivers, Communities and Societies (Coursera);Johns Hopkins University
Canvas Network;USA;4 Weeks;No information;No Exam and/or Final Project information;No certificate information;English;Jan 12th 2015;Business & ManagementMarketing & Communication;ManagementBusinessOnline BusinessShopifyDigital Marketing;ECommerce with Shopify (Canvas.net);ECommerce with Shopify (Canvas.net);SmartOn Learning Solutions
Canvas Network;USA;5 Weeks;No information;No Exam and/or Final Project information;No certificate information;English;Jan 12th 2015;Health & Society;HealthcareHealthcare Career;Introduction to Healthcare Career Exploration (Canvas.net);Introduction to Healthcare Career Exploration (Canvas.net);Southeast Technical Institute
Coursera;USA;8 Weeks;12-15 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Jan 12th 2015;Social Sciences;PoliticsPolitical TheoryDemocracyMarxism;Moral Foundations of Politics (Coursera);Moral Foundations of Politics (Coursera);Yale University
Coursera;USA;6 Weeks;5-7 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Jan 11th 2015;You must be comfortable with mathematical thinking and rigorous arguments. Relatively little specific math is required;;;;
edX;USA;12 Weeks;4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 9th 2015;None.;Business & ManagementMarketing & CommunicationSocial Sciences;BusinessEntrepreneurship;15.390x: Entrepreneurship 101: Who is your customer? (edX);MITx
MRUniversity;USA;Self Paced;Self study;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Self Paced ;Economics & Finance;EconomicsMicroeconomics;Principles of Economics: Microeconomics (MRUniversity);Principles of Economics: Microeconomics (MRUniversity);Marginal Revolution University
edX;USA;12 Weeks;4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 9th 2015;There are no prerequisites for this course. ;Business & Management;BusinessEntrepreneurshipEntrepreneurCustomers;15.390.2x: Entrepreneurship 102: What can you do for your customer? (edX);MITx
Coursera;USA;7 Weeks;2-5 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Jan 8th 2015;There are no prerequisites to taking this course. All you need is an interest in the subject and a commitment to engage in all instructional activities.;Health & SocietyMedicine & Pharmacology;PharmaceuticalPharmacyMedicine;Introduction to Pharmacy (Coursera);The Ohio State University
edX;USA;7 Weeks;2-3 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 8th 2015;None. ;Business & ManagementHumanitiesLaw;ContractsLawMoralityFraud;HLS2X: ContractsX: From Trust to Promise to Contract (edX);HarvardX
edX;USA;16 Weeks;6-8 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Jan 8th 2015;Students should be familiar with concepts including the description of motion, Newton’s Laws, free-body diagrams, energy and momentum, and students should have a working knowledge of algebra, trigonometry, and some calculus.;Physics;PhysicsClassical MechanicsNewtonian MechanicsMechanicsNewtonKinematicsEnergyMomentum;8.MechCx: Advanced Introductory Classical Mechanics (edX);MITx
edX;USA;8 Weeks;1-4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 8th 2015;None. ;Humanities;Modern ChinaChina;SW12.10x: China (Part 10): Greater China Today: The People's Republic, Taiwan, and Hong Kong (edX);HarvardX
edX;USA;5 Weeks;3-5 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 7th 2015;None.;Art, Architecture, and DesignHumanitiesLanguages & Literature;PoetryAmericaWhitmanWalt Whitman;AmPoX.3: Poetry in America: Whitman (edX);HarvardX
EdCast;USA;Course length not available;10-12 hours/week;Yes, Free Exam and/or Final Project;Yes, Verified Certificate (Paid);English;Jan 7th 2015;Business & ManagementSocial Sciences;ManagementStakeholder ManagementCitizenship;Blended Models: Multi-Stakeholder Citizenship (EdCast);Blended Models: Multi-Stakeholder Citizenship (EdCast);Centre for Citizenship Enterprise and Governance (CCEG)
EdCast;USA;Course length not available;No information;No Exam and/or Final Project information;No certificate information;English;Jan 7th 2015;Social Sciences;Social Impact;Introduction to Social Impact Analysis (EdCast);Introduction to Social Impact Analysis (EdCast);Centre for Citizenship Enterprise and Governance (CCEG)
Coursera;USA;10 Weeks;6-9 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 6th 2015;This class assumes at a minimum a prior knowledge of astronomy at a good mid-undergraduate level.;Energy & Earth SciencesPhysics;AstronomyCosmologyUniverseSciencePhysics;Galaxies and Cosmology (Coursera);California Institute of Technology
edX;USA;8 Weeks;12 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 6th 2015;Any offering of CS 169.1x.;Computer Science: Programming & Software EngineeringEngineering;SaaSAgileJavascriptRubyRailsSoftware Engineering;CS169.2x: Engineering Software as a Service, Part 2 (edX);BerkeleyX
edX;Japan;4 Weeks;5-6 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Jan 6th 2015;None.;HumanitiesSocial Sciences;TokyoPostwar TokyoJapan;UTokyo002x: Visualizing Postwar Tokyo, Part 2 (edX);UTokyoX
edX;Canada;6 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 6th 2015;None, though background knowledge in forestry, international development, and environmental issues will be beneficial.  ;Biology & Life SciencesEnergy & Earth SciencesSocial Sciences;ForestsLivelihoodsForest ResourcesSustainabilityForestryEnvironment;Forest222x: Forests and Livelihoods in Developing Countries (edX);UBCx
Coursera;México;8 Weeks;5-6 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment (Free);Spanish;Jan 5th 2015;No se requieren conocimiento previos.;Business & ManagementEconomics & Finance;InnovationMarketBusinessManagement;Desarrollo rápido de productos innovadores para mercados emergentes (Coursera);Tecnológico de Monterrey
Coursera;Sweden;10 Weeks;10-14 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Jan 5th 2015;It is not necessary to be a lawyer, however basic knowledge of law and legal terminology is recommended. ;Business & ManagementEconomics & FinanceLawSocial Sciences;European UnionLawEuropean Business Law;Introduction to European Business Law (Coursera);Lund University
FutureLearn;United Kingdom;4 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Jan 5th 2015;You do not need a professional telescope for this course, but you may find at least a pair of binoculars extremely useful.;Physical & Earth Sciences;ExoplanetsOrionConstellationsAstronomyPleiadesGalaxiesBig BangSolar System;In the Night Sky: Orion (FutureLearn);The Open University
Coursera;USA;10 Weeks;10-12 hours/week;No Exam and/or Final Project information;No certificate information;English;Jan 5th 2015;Solid background in ODEs and familiarity with PDEs and MATLAB. About the Instructor Nathan KutzUniversity of Washington;Statistics & Data Analysis;DataAnalysisMatlabData Analysis;Computational Methods for Data Analysis (Coursera);University of Washington
FutureLearn;United Kingdom;4 Weeks;2 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Jan 5th 2015;This course is open to all but also includes research techniques and methodologies which may require a prior grounding in the biological sciences in order to fully engage. ;Food and NutritionHealth & Society;SustainabilityFood Crisis;Tackling the Global Food Crisis: Sustainable Agri-food Systems (FutureLearn);Queen’s University Belfast
iversity;Italy;8 Weeks;3-7 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 5th 2015;In terms of prior knowledge, nothing in particular is required. ;Art, Architecture, and Design;ArchitectureSpace;Architecture 101 - Part I (iversity);Abadir Fine Arts Academy
Coursera;USA;7 Weeks;6-8 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 5th 2015;Basic courses in statistics and molecular biology are useful but not required. Ability to write short scripts in languages such as Python would be useful but not necessary.  ;Biology & Life SciencesComputer Science: Artificial Intelligence, Robotics, VisionStatistics & Data Analysis;NetworkBiologyAnalysisStatistical MethodsPharmacology;Network Analysis in Systems Biology (Coursera);Icahn School of Medicine at Mount Sinai
Coursera;USA;9 Weeks;4-6 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 5th 2015;Basic background in linear algebra and digital signal processing will be helpful.;EngineeringMathematics;MathImageVideoElectrical;Image and video processing: From Mars to Hollywood with a stop at the hospital (Coursera);Duke University
Coursera;USA;12 Weeks;16-20 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Jan 5th 2015;College-level background in cellular and molecular biology and general knowledge of systems physiology and human anatomy is strongly recommended.;Biology & Life SciencesMedicine & PharmacologyTeacher Professional Development;NeuroscienceMedicinePhysiologyBrain;Medical Neuroscience (Coursera);Duke University
Coursera;USA;10 Weeks;5-7 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Jan 4th 2015;Completed a first course in calculus, have a working knowledge of matrices and linear algebra, complex numbers, been introduced to basic circuit elements at the level commonly covered in a college physics course.;Engineering;ElectricityElectronicCircuitsLinear Circuits;Linear Circuits (Coursera);Georgia Institute of Technology
Coursera;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Self Paced ;No background is necessary for this course, which is suitable for everyone from college and high school students to advanced professors in the social science, humanities, and STEM disciplines who wish to help their students learn better.;Art, Architecture, and DesignBiology & Life SciencesBusiness & ManagementChemistryEconomics & FinanceEducationEnergy & Earth SciencesEngineeringFood and NutritionHealth & SocietyHumanitiesInformation, Technology, and DesignLawMathematicsMedicine & PharmacologyMusic, Film & AudioPhysical & Earth SciencesPhysicsSocial SciencesTeacher Professional Development;LearningMental ToolsBrainMemorySkills;Learning How to Learn: Powerful mental tools to help you master tough subjects (Coursera);University of California, San Diego
Coursera;USA;11 Weeks;5-6 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 2nd 2015;No prior coursework in the subject is assumed. It would be helpful for the application of some concepts to have a working knowledge of High School level math, including basic algebra.;Biology & Life Sciences;BiologyLifeScienceEvolutionGenetics;Introduction to Genetics and Evolution (Coursera);Duke University
EdCast;USA;14 Weeks;4-6 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment (Free);English;Jan 1st 2015;None.;Business & ManagementEconomics & FinanceEnergy & Earth SciencesEngineeringSocial Sciences;SustainabilityEnvironmentalSustainable DevelopmentEnvironment;Age of Sustainable Development (EdCast);Sustainable Development Solutions Network
ApnaCourse;India;Self Paced;Self study;No Exam or Final Project;No Certificate;English;Self Paced ;Basic background on BA terminologies.;Business & Management;Business AnalysisCBAP;Introduction to Business Analysis (ApnaCourse);Spearhead EduOnline Pvt Ltd
Coursera;China;8 Weeks;8-20 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);Chinese;Dec 23rd 2014;"The basic knowledge on Calculus, Linear Algebra and Probability will be helpful. We assume that the students have taken the NTU-Coursera ""Machine Learning Foundations"" class or equivalent.";Computer Science: Artificial Intelligence, Robotics, Vision;Machine LearningModels;機器學習技法 (Machine Learning Techniques) (Coursera);National Taiwan University
Canvas Network;Spain;16 Weeks;No information;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Spanish;Dec 15th 2014;Health & SocietyMedicine & Pharmacology;InjuriesIllnessTelemedicineMedicineHealthPhysiological Disturbances;Injuries, illness and telemedicine in extreme sailing (Canvas.net);Barcelona Foundation for Ocean Sailing (FNOB)
Canvas Network;USA;24 weeks;No information;No Exam and/or Final Project information;No certificate information;English;Dec 15th 2014;Intended for educators or professionals.;EducationPersonal & Professional DevelopmentTeacher Professional Development;LearningBlended LearningEducation;Tinker, Make & Learn (Canvas.net);Canvas Network
Coursera;USA;10 Weeks;4-8 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;Chinese;Dec 15th 2014;学生需要能够熟练使用基本代数。不需要微积分方面的知识，但是如果能从概念上理解导数是如何表示某点斜率的话，会对课程的学习非常有帮助。;Economics & FinanceHumanities;ModelsSocialEconomicsBusiness;Model Thinking 模型思维 (中文版) (Coursera);University of Michigan
Coursera;USA;5 Weeks;1-3 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Dec 11th 2014;We believe this course will have broad applicability for anyone who works with kids – teachers, social workers, counselors, coaches, and even parents who are curious about how these ideas might be applied at home or in their child’s school. ;EducationTeacher Professional Development;EducationTeachingTeacher EducationK-12PedagogyPsychology;Teaching Character and Creating Positive Classrooms (Coursera);Relay Graduate School of Education
ApnaCourse;India;Self Paced;Self study;No Exam or Final Project;No Certificate;English;Self Paced ;Basic background on Agile terminologies.;Personal & Professional Development;AgileAgile Methodologies;Agile in 100 minutes (ApnaCourse);Spearhead EduOnline Pvt Ltd
OpenLearning;Australia;Self Paced;Self study;No Exam and/or Final Project information;No certificate information;English;Self Paced ;Education;MathMathematicsEducationUniversity;Math Terminology for incoming Uni students (OpenLearning);Math Terminology for incoming Uni students (OpenLearning);UNSW Australia (The University of New South Wales)
Canvas Network;USA;Self Paced;Self study;No Exam and/or Final Project information;No certificate information;English;Self Paced;Intended for educators or professionals.;Health & SocietyMedicine & Pharmacology;PALSLife SupportChildrenPediatricHealthMedicine;Pediatric Advanced Life Support (Canvas.net);National Health Care Provider Solutions
edX;USA;13 Weeks;1 hour/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Dec 1st 2014;EngineeringPhysics;CircuitsWirelessWireline CommunicationMemoryElectronicsSystem; ISSCCx: ISSCC Previews: Circuit and System Insights (edX); ISSCCx: ISSCC Previews: Circuit and System Insights (edX);IEEE
